nom,date,national_cumulative_confirmed_deaths
Lukafu,2026-05-27,17
Mufunga Sampwe,2026-05-27,17
Kilwa,2026-05-27,17
Kapolowe,2026-05-27,17
Panda,2026-05-27,17
Kashobwe,2026-05-27,17
Kampemba,2026-05-27,17
Rwashi,2026-05-27,17
Bena Tshiadi,2026-05-27,17
Yangala,2026-05-27,17
Ilebo,2026-05-27,17
Luebo,2026-05-27,17
Bena Leka,2026-05-27,17
Muetshi,2026-05-27,17
Tshikula,2026-05-27,17
Dibaya,2026-05-27,17
Kalomba,2026-05-27,17
Tshibala,2026-05-27,17
Mushenge,2026-05-27,17
Bulape,2026-05-27,17
Masuika,2026-05-27,17
Luiza,2026-05-27,17
Katoka,2026-05-27,17
Ndesha,2026-05-27,17
Tshikaji,2026-05-27,17
Bilomba,2026-05-27,17
Ndekesha,2026-05-27,17
Bunkonde,2026-05-27,17
Mikalayi,2026-05-27,17
Luambo,2026-05-27,17
Katende,2026-05-27,17
Ndjoko-Mpunda,2026-05-27,17
Lubondaie,2026-05-27,17
Kakenge,2026-05-27,17
Rwampara,2026-05-27,17
Bunia,2026-05-27,17
Jiba,2026-05-27,17
Linga,2026-05-27,17
Mangala,2026-05-27,17
Damas,2026-05-27,17
Fataki,2026-05-27,17
Drodro,2026-05-27,17
Tchomia,2026-05-27,17
Rethy,2026-05-27,17
Nyakunde,2026-05-27,17
Nizi,2026-05-27,17
Bambu,2026-05-27,17
Kilo,2026-05-27,17
Mongbalu,2026-05-27,17
Komanda,2026-05-27,17
Gethy,2026-05-27,17
Boga,2026-05-27,17
Nia-Nia,2026-05-27,17
Mandima,2026-05-27,17
Lolwa,2026-05-27,17
Lita,2026-05-27,17
Boma-Mangbetu,2026-05-27,17
Isiro,2026-05-27,17
Wamba,2026-05-27,17
Doruma,2026-05-27,17
Pawa,2026-05-27,17
Niangara,2026-05-27,17
Rungu,2026-05-27,17
Mambasa,2026-05-27,17
Rimba,2026-05-27,17
Logo,2026-05-27,17
Angumu,2026-05-27,17
Nyarambe,2026-05-27,17
Mahagi,2026-05-27,17
Makoro,2026-05-27,17
Kambala,2026-05-27,17
Biringi,2026-05-27,17
Laybo,2026-05-27,17
Ariwara,2026-05-27,17
Adi,2026-05-27,17
Aru,2026-05-27,17
Adja,2026-05-27,17
Aungba,2026-05-27,17
Faradje,2026-05-27,17
Gombari,2026-05-27,17
Dungu,2026-05-27,17
Watsa,2026-05-27,17
Demba,2026-05-27,17
Mutoto,2026-05-27,17
Lubunga (Kasaï-Central),2026-05-27,17
Kananga,2026-05-27,17
Maluku II,2026-05-27,17
Nselo,2026-05-27,17
Lomela,2026-05-27,17
Nioki,2026-05-27,17
Bolobo,2026-05-27,17
Mushie,2026-05-27,17
Kwamouth,2026-05-27,17
Mokala,2026-05-27,17
Kisanji,2026-05-27,17
Lukonga,2026-05-27,17
Tunda,2026-05-27,17
Bosobolo,2026-05-27,17
Businga,2026-05-27,17
Boto,2026-05-27,17
Lisala,2026-05-27,17
Ndage,2026-05-27,17
Mwela Lembwa,2026-05-27,17
Kingabwa,2026-05-27,17
Likati,2026-05-27,17
Yahuma,2026-05-27,17
Ikela,2026-05-27,17
Lubunga (Tshopo),2026-05-27,17
