nom,date,national_cumulative_confirmed_cases
Djolu,14/05/2026,8
Opienge,14/05/2026,8
Obokote,14/05/2026,8
Lowa,14/05/2026,8
Wanierukula,14/05/2026,8
Lubutu,14/05/2026,8
Kitenda,14/05/2026,8
Kasongo Lunda,14/05/2026,8
Popokabaka,14/05/2026,8
Kimvula,14/05/2026,8
Maluku I,14/05/2026,8
Kimpese,14/05/2026,8
Nsona-Mpangu,14/05/2026,8
Kangu,14/05/2026,8
Kuimba,14/05/2026,8
Kinkonzi,14/05/2026,8
Mangembo,14/05/2026,8
Gombe-Matadi,14/05/2026,8
Masa,14/05/2026,8
Bokonzi,14/05/2026,8
Mawuya,14/05/2026,8
Zongo,14/05/2026,8
Libenge,14/05/2026,8
Bili (Nord-Ubangi),14/05/2026,8
Gbadolite,14/05/2026,8
Mobayi Mbongo,14/05/2026,8
Yakoma,14/05/2026,8
Monga,14/05/2026,8
Bondo,14/05/2026,8
Bili (Bas-Uele),14/05/2026,8
Ango,14/05/2026,8
Opala,14/05/2026,8
Kahemba,14/05/2026,8
Gungu,14/05/2026,8
Kitangwa,14/05/2026,8
Mukedi,14/05/2026,8
Kongolo,14/05/2026,8
Mbulula,14/05/2026,8
Kabalo,14/05/2026,8
Bukama,14/05/2026,8
Kabondo Dianda,14/05/2026,8
Kabongo,14/05/2026,8
Songa,14/05/2026,8
Kayamba,14/05/2026,8
Kitenge,14/05/2026,8
Ankoro,14/05/2026,8
Mulongo,14/05/2026,8
Lwamba,14/05/2026,8
Mukanga,14/05/2026,8
Malemba,14/05/2026,8
Kinda,14/05/2026,8
Kamina,14/05/2026,8
Kikwit-Sud,14/05/2026,8
Kenya,14/05/2026,8
Kamalondo,14/05/2026,8
Tshamilemba,14/05/2026,8
Pweto,14/05/2026,8
Lukafu,14/05/2026,8
Mufunga Sampwe,14/05/2026,8
Kilwa,14/05/2026,8
Kapolowe,14/05/2026,8
Panda,14/05/2026,8
Kashobwe,14/05/2026,8
Kampemba,14/05/2026,8
Rwashi,14/05/2026,8
Bena Tshiadi,14/05/2026,8
Yangala,14/05/2026,8
Ilebo,14/05/2026,8
Luebo,14/05/2026,8
Bena Leka,14/05/2026,8
Muetshi,14/05/2026,8
Tshikula,14/05/2026,8
Dibaya,14/05/2026,8
Kalomba,14/05/2026,8
Tshibala,14/05/2026,8
Mushenge,14/05/2026,8
Bulape,14/05/2026,8
Masuika,14/05/2026,8
Luiza,14/05/2026,8
Katoka,14/05/2026,8
Ndesha,14/05/2026,8
Tshikaji,14/05/2026,8
Bilomba,14/05/2026,8
Ndekesha,14/05/2026,8
Bunkonde,14/05/2026,8
Mikalayi,14/05/2026,8
Luambo,14/05/2026,8
Katende,14/05/2026,8
Ndjoko-Mpunda,14/05/2026,8
Lubondaie,14/05/2026,8
Kakenge,14/05/2026,8
Rwampara,14/05/2026,8
Bunia,14/05/2026,8
Jiba,14/05/2026,8
Linga,14/05/2026,8
Mangala,14/05/2026,8
Damas,14/05/2026,8
Fataki,14/05/2026,8
Drodro,14/05/2026,8
Tchomia,14/05/2026,8
Rethy,14/05/2026,8
Nyakunde,14/05/2026,8
Nizi,14/05/2026,8
Bambu,14/05/2026,8
Kilo,14/05/2026,8
Mongbalu,14/05/2026,8
Komanda,14/05/2026,8
Gethy,14/05/2026,8
Boga,14/05/2026,8
Nia-Nia,14/05/2026,8
Mandima,14/05/2026,8
Lolwa,14/05/2026,8
Lita,14/05/2026,8
Boma-Mangbetu,14/05/2026,8
Isiro,14/05/2026,8
Wamba,14/05/2026,8
Doruma,14/05/2026,8
Pawa,14/05/2026,8
Niangara,14/05/2026,8
Rungu,14/05/2026,8
Mambasa,14/05/2026,8
Rimba,14/05/2026,8
Logo,14/05/2026,8
Angumu,14/05/2026,8
Nyarambe,14/05/2026,8
Mahagi,14/05/2026,8
Makoro,14/05/2026,8
Kambala,14/05/2026,8
Biringi,14/05/2026,8
Laybo,14/05/2026,8
Ariwara,14/05/2026,8
Adi,14/05/2026,8
Aru,14/05/2026,8
Adja,14/05/2026,8
Aungba,14/05/2026,8
Faradje,14/05/2026,8
Gombari,14/05/2026,8
Dungu,14/05/2026,8
Watsa,14/05/2026,8
Demba,14/05/2026,8
Mutoto,14/05/2026,8
Lubunga (Kasaï-Central),14/05/2026,8
Kananga,14/05/2026,8
Maluku II,14/05/2026,8
Nselo,14/05/2026,8
Lomela,14/05/2026,8
Nioki,14/05/2026,8
Bolobo,14/05/2026,8
Mushie,14/05/2026,8
Kwamouth,14/05/2026,8
