nom,date,national_cumulative_suspected_deaths
Limete,5/27/26,223
Kalamu II,5/27/26,223
Kalamu I,5/27/26,223
Bumbu,5/27/26,223
Makala,5/27/26,223
Ngaba,5/27/26,223
Bandalungwa,5/27/26,223
Selembao,5/27/26,223
Masina I,5/27/26,223
Kintambo,5/27/26,223
Kasa-Vubu,5/27/26,223
Ngiri-Ngiri,5/27/26,223
Binza Meteo,5/27/26,223
Binza Ozone,5/27/26,223
Kikongo,5/27/26,223
Mont Ngafula II,5/27/26,223
Sona-Bata,5/27/26,223
Nsele,5/27/26,223
Kanzala,5/27/26,223
Tshikapa,5/27/26,223
Kingasani,5/27/26,223
Kimbanseke,5/27/26,223
Bwamanda,5/27/26,223
Kungu,5/27/26,223
Loko,5/27/26,223
Bangabola,5/27/26,223
Boso Mondanda,5/27/26,223
Budjala,5/27/26,223
Binga,5/27/26,223
Yamaluka,5/27/26,223
Boso Manzi,5/27/26,223
Karawa,5/27/26,223
Bominenge,5/27/26,223
Gemena,5/27/26,223
Mbaya,5/27/26,223
Bulu,5/27/26,223
Tandala,5/27/26,223
Kibombo,5/27/26,223
Kindu,5/27/26,223
Alunguli,5/27/26,223
Kokolo,5/27/26,223
Police,5/27/26,223
Makiso-Kisangani,5/27/26,223
Mangobo,5/27/26,223
Kabondo,5/27/26,223
Tshopo,5/27/26,223
Kaniama,5/27/26,223
Kalemie,5/27/26,223
Kansimba,5/27/26,223
Butumba,5/27/26,223
Kinkondja,5/27/26,223
Baka,5/27/26,223
Kiyambi,5/27/26,223
Manono,5/27/26,223
Samba,5/27/26,223
Kasongo,5/27/26,223
Kunda,5/27/26,223
Saramabila,5/27/26,223
Kampene,5/27/26,223
Nyemba,5/27/26,223
Nyunzu,5/27/26,223
Kabambare,5/27/26,223
Pangi,5/27/26,223
Kalima,5/27/26,223
Yalimbongo,5/27/26,223
Aketi,5/27/26,223
Lolo,5/27/26,223
Yamongili,5/27/26,223
Abuzi,5/27/26,223
Yambuku,5/27/26,223
Wasolo,5/27/26,223
Bosondjo,5/27/26,223
Bumba,5/27/26,223
Mondombe,5/27/26,223
Djolu,5/27/26,223
Opienge,5/27/26,223
Obokote,5/27/26,223
Lowa,5/27/26,223
Wanierukula,5/27/26,223
Lubutu,5/27/26,223
Kitenda,5/27/26,223
Kasongo Lunda,5/27/26,223
Popokabaka,5/27/26,223
Kimvula,5/27/26,223
Maluku I,5/27/26,223
Kimpese,5/27/26,223
Nsona-Mpangu,5/27/26,223
Kangu,5/27/26,223
Kuimba,5/27/26,223
Kinkonzi,5/27/26,223
Mangembo,5/27/26,223
Gombe-Matadi,5/27/26,223
Masa,5/27/26,223
Bokonzi,5/27/26,223
Mawuya,5/27/26,223
Zongo,5/27/26,223
Libenge,5/27/26,223
Bili (Nord-Ubangi),5/27/26,223
Gbadolite,5/27/26,223
Mobayi Mbongo,5/27/26,223
Yakoma,5/27/26,223
Monga,5/27/26,223
Bondo,5/27/26,223
Bili (Bas-Uele),5/27/26,223
Ango,5/27/26,223
Opala,5/27/26,223
Kahemba,5/27/26,223
Gungu,5/27/26,223
Kitangwa,5/27/26,223
Mukedi,5/27/26,223
Kongolo,5/27/26,223
Mbulula,5/27/26,223
Kabalo,5/27/26,223
Bukama,5/27/26,223
Kabondo Dianda,5/27/26,223
Kabongo,5/27/26,223
Songa,5/27/26,223
Kayamba,5/27/26,223
Kitenge,5/27/26,223
Ankoro,5/27/26,223
Mulongo,5/27/26,223
Lwamba,5/27/26,223
Mukanga,5/27/26,223
Malemba,5/27/26,223
Kinda,5/27/26,223
Kamina,5/27/26,223
Kikwit-Sud,5/27/26,223
Kenya,5/27/26,223
Kamalondo,5/27/26,223
Tshamilemba,5/27/26,223
Pweto,5/27/26,223
Lukafu,5/27/26,223
Mufunga Sampwe,5/27/26,223
Kilwa,5/27/26,223
Kapolowe,5/27/26,223
Panda,5/27/26,223
Kashobwe,5/27/26,223
Kampemba,5/27/26,223
Rwashi,5/27/26,223
Bena Tshiadi,5/27/26,223
Yangala,5/27/26,223
Ilebo,5/27/26,223
Luebo,5/27/26,223
Bena Leka,5/27/26,223
Muetshi,5/27/26,223
Tshikula,5/27/26,223
Dibaya,5/27/26,223
Kalomba,5/27/26,223
Tshibala,5/27/26,223
Mushenge,5/27/26,223
Bulape,5/27/26,223
Masuika,5/27/26,223
Luiza,5/27/26,223
Katoka,5/27/26,223
Ndesha,5/27/26,223
Tshikaji,5/27/26,223
Bilomba,5/27/26,223
Ndekesha,5/27/26,223
Bunkonde,5/27/26,223
Mikalayi,5/27/26,223
Luambo,5/27/26,223
Katende,5/27/26,223
Ndjoko-Mpunda,5/27/26,223
Lubondaie,5/27/26,223
Kakenge,5/27/26,223
Rwampara,5/27/26,223
Bunia,5/27/26,223
Jiba,5/27/26,223
Linga,5/27/26,223
Mangala,5/27/26,223
Damas,5/27/26,223
Fataki,5/27/26,223
Drodro,5/27/26,223
Tchomia,5/27/26,223
Rethy,5/27/26,223
Nyakunde,5/27/26,223
Nizi,5/27/26,223
Bambu,5/27/26,223
Kilo,5/27/26,223
Mongbalu,5/27/26,223
Komanda,5/27/26,223
Gethy,5/27/26,223
Boga,5/27/26,223
Nia-Nia,5/27/26,223
Mandima,5/27/26,223
Lolwa,5/27/26,223
Lita,5/27/26,223
Boma-Mangbetu,5/27/26,223
Isiro,5/27/26,223
Wamba,5/27/26,223
Doruma,5/27/26,223
Pawa,5/27/26,223
Niangara,5/27/26,223
Rungu,5/27/26,223
Mambasa,5/27/26,223
Rimba,5/27/26,223
Logo,5/27/26,223
Angumu,5/27/26,223
Nyarambe,5/27/26,223
Mahagi,5/27/26,223
Makoro,5/27/26,223
Kambala,5/27/26,223
Biringi,5/27/26,223
Laybo,5/27/26,223
Ariwara,5/27/26,223
Adi,5/27/26,223
Aru,5/27/26,223
Adja,5/27/26,223
Aungba,5/27/26,223
Faradje,5/27/26,223
Gombari,5/27/26,223
Dungu,5/27/26,223
Watsa,5/27/26,223
Demba,5/27/26,223
Mutoto,5/27/26,223
Lubunga (Kasaï-Central),5/27/26,223
Kananga,5/27/26,223
Maluku II,5/27/26,223
Nselo,5/27/26,223
Lomela,5/27/26,223
Nioki,5/27/26,223
Bolobo,5/27/26,223
Mushie,5/27/26,223
Kwamouth,5/27/26,223
Mokala,5/27/26,223
Kisanji,5/27/26,223
Lukonga,5/27/26,223
Tunda,5/27/26,223
Bosobolo,5/27/26,223
Businga,5/27/26,223
Boto,5/27/26,223
Lisala,5/27/26,223
Ndage,5/27/26,223
Mwela Lembwa,5/27/26,223
Kingabwa,5/27/26,223
Likati,5/27/26,223
Yahuma,5/27/26,223
Ikela,5/27/26,223
Lubunga (Tshopo),5/27/26,223
Ubundu,5/27/26,223
Kailo,5/27/26,223
Ototo,5/27/26,223
Tshumbe,5/27/26,223
Lusangi,5/27/26,223
Bobozo,5/27/26,223
Punia,5/27/26,223
Kyondo,5/27/26,223
Mabalako,5/27/26,223
Biena,5/27/26,223
Masereka,5/27/26,223
Lubero,5/27/26,223
Manguredjipa,5/27/26,223
Mutwanga,5/27/26,223
