nom,date,new_all_admissions
Bunia,2026-05-20,28
Rwampara,2026-05-20,37
Mongbalu,2026-05-20,21
Nyakunde,2026-05-20,15
Bunia,2026-05-21,36
Rwampara,2026-05-21,76
Mongbalu,2026-05-21,27
Nyakunde,2026-05-21,16
Bunia,2026-05-22,11
Rwampara,2026-05-22,11
Mongbalu,2026-05-22,4
Nyakunde,2026-05-22,2
Bunia,2026-05-23,9
Rwampara,2026-05-23,4
Mongbalu,2026-05-23,3
Nyakunde,2026-05-23,7
Aru,2026-05-23,0
