,nom,gdp_pc
212,Lowa,881.155138478066
213,Wanierukula,902.031641471654
214,Lubutu,653.868765949926
215,Kitenda,740.007988441495
216,Kasongo Lunda,790.432607697833
217,Popokabaka,776.88369591958
218,Kimvula,958.350420930366
219,Maluku I,2282.65730319473
220,Kimpese,702.652285948856
221,Nsona-Mpangu,1111.913937304
222,Kangu,885.290965283129
223,Kuimba,1450.0842097013
224,Kinkonzi,1048.22621441935
225,Mangembo,818.207591416763
226,Gombe-Matadi,726.77719090687
227,Masa,1121.62009326635
228,Bokonzi,1050.6357543642
229,Mawuya,1186.0916253694
230,Zongo,1293.39018310427
231,Libenge,921.719274868336
232,Bili (Nord-Ubangi),818.869658329733
233,Gbadolite,720.014036878368
234,Mobayi Mbongo,649.951050809407
235,Yakoma,667.221903379514
236,Monga,876.45143165087
237,Bondo,911.730248912036
238,Bili (Bas-Uele),905.155033555215
239,Ango,847.44496914161
240,Opala,685.154186628323
241,Kahemba,1230.34873758885
242,Gungu,629.503872397801
243,Kitangwa,877.353462480216
244,Mukedi,631.966483379199
245,Kongolo,681.036283511238
246,Mbulula,682.371891669229
247,Kabalo,831.370212721452
248,Bukama,719.120875434508
249,Kabondo Dianda,717.345974897433
250,Kabongo,741.062019498238
251,Songa,614.659060266954
252,Kayamba,736.979132854113
253,Kitenge,738.02155893162
254,Ankoro,837.549061790868
255,Mulongo,867.303022995359
256,Lwamba,863.626706163232
257,Mukanga,863.991785578984
258,Malemba,719.702228577288
259,Kinda,617.289327648018
260,Kamina,613
261,Kikwit-Sud,1432.26300397955
262,Kenya,755.856086070552
263,Kamalondo,730.036799855715
264,Tshamilemba,1458.52672144986
265,Pweto,851.890405748816
266,Lukafu,746.517219347443
267,Mufunga Sampwe,701.118364028959
268,Kilwa,732.110412423712
269,Kapolowe,605.013640227124
270,Panda,590
271,Kashobwe,1346.80325653494
272,Kampemba,739.092928178971
273,Rwashi,1052.9906399171
274,Bena Tshiadi,707.058699240185
275,Yangala,738.825033681706
276,Ilebo,731.390569554735
277,Luebo,699.418357548458
278,Bena Leka,783.131739203067
