,nom,socioeconomic_inequality
199,Yalimbongo,0.793628476220952
200,Aketi,0.407026531282274
201,Lolo,0.45397827150663
202,Yamongili,0.376040333521551
203,Abuzi,0.31260092458043
204,Yambuku,0.309237672647799
205,Wasolo,0.312989391347449
206,Bosondjo,0.332806397567651
207,Bumba,0.432681173478216
208,Mondombe,0.231176479254867
209,Djolu,0.294688788968312
210,Opienge,0.824998592393373
211,Obokote,0.577517160455315
212,Lowa,0.763036904241196
213,Wanierukula,0.821413237935276
214,Lubutu,0.585207528126036
215,Kitenda,0.689000005864223
216,Kasongo Lunda,0.597999993040538
217,Popokabaka,0.600149219456505
218,Kimvula,0.612401232641508
219,Maluku I,0.683147066399134
220,Kimpese,0.605987592399764
221,Nsona-Mpangu,0.602076840744618
222,Kangu,0.631928174572107
223,Kuimba,0.675102659287212
224,Kinkonzi,0.509057363136068
225,Mangembo,0.454879363149931
226,Gombe-Matadi,0.524288448740125
227,Masa,0.541298430141474
228,Bokonzi,0.502203866094025
229,Mawuya,0.515147415139042
230,Zongo,0.589167989220796
231,Libenge,0.522569322053399
232,Bili (Nord-Ubangi),0.387615157637186
233,Gbadolite,0.318478642725324
234,Mobayi Mbongo,0.316235880031685
235,Yakoma,0.312607586617234
236,Monga,0.412563819739858
237,Bondo,0.597999983379641
238,Bili (Bas-Uele),0.598000030983001
239,Ango,0.403659873601688
240,Opala,0.728223273713879
241,Kahemba,0.612743675292606
242,Gungu,0.724820453642194
243,Kitangwa,0.47845000135146
244,Mukedi,0.678386307996281
245,Kongolo,0.7433135392988
246,Mbulula,0.769534058044664
247,Kabalo,0.767085038829733
248,Bukama,0.7040732844748
249,Kabondo Dianda,0.706879924467392
250,Kabongo,0.712181202252796
251,Songa,0.70708157828282
252,Kayamba,0.747924000392105
253,Kitenge,0.756072307973945
254,Ankoro,0.758880607621437
255,Mulongo,0.714945195036744
256,Lwamba,0.708539119467579
257,Mukanga,0.712203179574634
258,Malemba,0.707136022987895
259,Kinda,0.705585775429009
260,Kamina,0.707000017166138
261,Kikwit-Sud,0.725000023841858
262,Kenya,0.704938462304101
263,Kamalondo,0.712403404280769
264,Tshamilemba,0.70849912601402
265,Pweto,0.708715334347645
266,Lukafu,0.724786551856186
267,Mufunga Sampwe,0.72131355370568
268,Kilwa,0.717780708625643
269,Kapolowe,0.723542154934297
270,Panda,0.722432479965841
271,Kashobwe,0.703984690888517
272,Kampemba,0.721165565309245
273,Rwashi,0.717408843961232
274,Bena Tshiadi,0.444999991235749
275,Yangala,0.578907545586343
276,Ilebo,0.480582889765568
277,Luebo,0.447899085857164
278,Bena Leka,0.442974101941298
279,Muetshi,0.444043963851441
280,Tshikula,0.45888106322746
281,Dibaya,0.52686396127679
282,Kalomba,0.448673125362224
283,Tshibala,0.448629461724738
284,Mushenge,0.451162478020977
285,Bulape,0.449676659962406
286,Masuika,0.494300793455469
287,Luiza,0.440825027464042
288,Katoka,0.441670774932828
289,Ndesha,0.441830824398116
290,Tshikaji,0.442413998995656
291,Bilomba,0.440190643578381
292,Ndekesha,0.441905078388496
293,Bunkonde,0.442437560402414
294,Mikalayi,0.441711861180593
295,Luambo,0.483979305035199
296,Katende,0.4969565283787
297,Ndjoko-Mpunda,0.449998261763661
298,Lubondaie,0.487452035929231
299,Kakenge,0.447532173534132
300,Rwampara,0.773591358157642
301,Bunia,0.769213118851118
302,Jiba,0.673724722160162
303,Linga,0.701081911633136
304,Mangala,0.777334439703511
305,Damas,0.781558490959488
306,Fataki,0.734688165595837
307,Drodro,0.70419281087578
308,Tchomia,0.650738143507274
309,Rethy,0.725386132056913
310,Nyakunde,0.781737879024248
311,Nizi,0.778693263959418
312,Bambu,0.798718470946298
313,Kilo,0.801175684434641
314,Mongbalu,0.783049212012417
315,Komanda,0.807424581747759
316,Gethy,0.714466345817082
317,Boga,0.726130504991126
318,Nia-Nia,0.755161360186491
319,Mandima,0.815512978858443
320,Lolwa,0.802456494857842
321,Lita,0.73523230874729
322,Boma-Mangbetu,0.605737316043761
323,Isiro,0.596076465550408
324,Wamba,0.642914459425355
325,Doruma,0.52393266330592
326,Pawa,0.601425636816407
327,Niangara,0.595923863009422
328,Rungu,0.598899202564127
329,Mambasa,0.804409554940929
330,Rimba,0.776289217311332
331,Logo,0.723765307713229
332,Angumu,0.637767656267628
333,Nyarambe,0.665315477786659
334,Mahagi,0.73719289695205
335,Makoro,0.649505242372728
336,Kambala,0.787138329589822
337,Biringi,0.751613850078025
338,Laybo,0.704251212869799
339,Ariwara,0.767973516875672
340,Adi,0.66347135033507
341,Aru,0.772688106787779
342,Adja,0.737977460862773
343,Aungba,0.776256323695819
344,Faradje,0.597522400207649
345,Gombari,0.60814369576415
346,Dungu,0.593265238116433
347,Watsa,0.600987723111117
348,Demba,0.440849814091776
349,Mutoto,0.445760162603184
350,Lubunga (Kasaï-Central),0.557400267449764
351,Kananga,0.442079955292947
352,Maluku II,0.644818519226319
353,Nselo,0.615699663440511
354,Lomela,0.667487316921087
355,Nioki,0.567180841521157
356,Bolobo,0.41844692674598
357,Mushie,0.554280148678291
358,Kwamouth,0.541027420245063
359,Mokala,0.673474818450718
360,Kisanji,0.72496405905803
361,Lukonga,0.442422360812673
362,Tunda,0.520100715891243
363,Bosobolo,0.40982050718441
364,Businga,0.320626957818745
365,Boto,0.538237709406147
366,Lisala,0.315267844399315
367,Ndage,0.421076967251085
368,Mwela Lembwa,0.725000025189497
369,Kingabwa,0.580089105923505
370,Likati,0.312787047325275
371,Yahuma,0.750040933109669
372,Ikela,0.282129205550109
373,Lubunga (Tshopo),0.829999983310699
374,Ubundu,0.829999826274427
375,Kailo,0.511156053477508
376,Ototo,NA
377,Tshumbe,0.527770096098639
378,Lusangi,0.556546540736252
379,Bobozo,0.441646117981879
380,Punia,0.534620367267016
381,Kyondo,0.802315952199709
382,Mabalako,0.82396277698651
383,Biena,0.841280469090635
384,Masereka,0.82046815775291
385,Lubero,0.82608713145444
386,Manguredjipa,0.835343870907779
387,Mutwanga,0.725483405114965
388,Kamango,0.69709835306134
389,Oicha,0.812074032161827
390,Binza,0.657936032107822
391,Rwanguba,0.615719427148535
392,Rutshuru,0.69658907848185
393,Birambizo,0.836321988964994
394,Beni,0.80084300770099
395,Vuhovi,0.821913636280976
396,Musienene,0.842559150525294
397,Butembo,0.83466625214169
398,Katwa,0.824964652542873
399,Kayna,0.841962310141002
400,Goma,0.582907865751134
401,Karisimbi,0.58443644028112
402,Kibua,0.832942934674088
403,Masisi,0.80606594283715
