,nom,socioeconomic_deprivation
472,Aba,0.896173265866129
473,Masina II,0.716886201114089
474,Kapanga,0.848256083016114
475,Dilala,0.787240549737068
476,Mutshatsha,0.846898384982872
477,Kikula,0.827966559334403
478,Kimbi Lulenge,0.859188655036013
479,Ferekeni,0.873642171028195
480,Wapinda,0.882000029093778
481,Likasi,0.786815707421274
482,Kasenga,0.776234417975971
483,Ntandembelo,0.881695345759609
484,Yumbi,0.823140579900381
485,Tshudi Loto,0.882000029087068
486,Kiri,0.882000029087067
487,Bosanga,0.882000029087068
488,Yalifafo,0.882000029087065
489,Dekese,0.880484029188798
490,Mimia,0.882000029087067
491,Makanza,0.88181701754102
492,Bomongo,0.867454302020536
493,Lolanga Mampoko,0.87954893128965
494,Penjwa,0.881997644733958
495,Bokungu,0.882000029087067
496,Wema,0.881347902472888
497,Befale,0.879474695898582
498,Lotumbe,0.876294388469912
499,Monkoto,0.88200000834742
500,Djombo,0.882000021366949
501,Bongandanga,0.882000029087065
502,Lingomo,0.881999984528717
503,Basankusu,0.882000029087067
504,Boende,0.861020757300338
505,Mompono,0.882000029087067
506,Monieka,0.878612799468118
507,Banjow Moke,0.882000029087067
508,Inongo,0.882000029087067
509,Wangata,0.854554204529941
510,Bolenge,0.865100857678418
511,Bolomba,0.877440395086834
512,Ingende,0.874416735648308
513,Iboko,0.882000029087066
514,Irebu,0.869494974210155
515,Mbandaka,0.855515444003829
516,Lukolela,0.854315591937612
517,Bikoro,0.881435351060275
518,Ntondo,0.881988158981856
519,Lilanga Bobangi,0.849376554509279
