osm_type,osm_id,osm_url,name,alt_name,category,operator,operator_type,capacity,population,start_date,end_date,ref_unhcr,lat,lon,geometry_type
way,1005191977,https://www.openstreetmap.org/way/1005191977,Site de Réfugiés de Modale,,refugee_site,,,,,,,,3.840704,22.404056,Polygon
way,1013772995,https://www.openstreetmap.org/way/1013772995,Site de Kigonze,,refugee_site,,,,,,,,1.587710,30.239165,Polygon
way,1013772996,https://www.openstreetmap.org/way/1013772996,Site de l'ISP,,refugee_site,,,,,,,,1.580320,30.247114,Polygon
way,1077182718,https://www.openstreetmap.org/way/1077182718,Rwampara,,refugee_site,,,,,,,,1.540513,30.180750,Polygon
way,1113077624,https://www.openstreetmap.org/way/1113077624,,,refugee_site,,,,,,,,-1.487573,28.735682,Polygon
way,1158524232,https://www.openstreetmap.org/way/1158524232,Camp de Elohim,,refugee_site,,,,,,,,-1.614643,29.123096,Polygon
way,1275735270,https://www.openstreetmap.org/way/1275735270,Camp de Elohim,,refugee_site,,,,,,,,-1.610814,29.124952,Polygon
way,1278078498,https://www.openstreetmap.org/way/1278078498,Camp de Samsam,,refugee_site,,,,,,,,-1.606528,29.137696,Polygon
way,1311207262,https://www.openstreetmap.org/way/1311207262,,,refugee_site,,,,,,,,-1.618744,29.106617,Polygon
way,1322160836,https://www.openstreetmap.org/way/1322160836,,,refugee_site,,,,,,,,-1.612859,29.214781,Polygon
way,1322160839,https://www.openstreetmap.org/way/1322160839,,,refugee_site,,,,,,,,-1.616409,29.214818,Polygon
way,1336797066,https://www.openstreetmap.org/way/1336797066,Camp de Lac Vert Bulengo,Camp de Shiffra,refugee_site,,,,,,,,-1.610704,29.137660,Polygon
way,1350864231,https://www.openstreetmap.org/way/1350864231,,,refugee_site,,,,,,,,-1.611196,29.142842,Polygon
way,1465738218,https://www.openstreetmap.org/way/1465738218,,,refugee_site,,,,,,,,-1.064907,28.997645,Polygon
way,1486816285,https://www.openstreetmap.org/way/1486816285,Camp de Plaine Savo,,refugee_site,,,,,,,,1.909042,30.589548,Polygon
relation,12306400,https://www.openstreetmap.org/relation/12306400,Mulongwe,,refugee_shelter,,,,,,,,,,
relation,12391443,https://www.openstreetmap.org/relation/12391443,,,refugee_site,,,,,,,,,,
relation,12393895,https://www.openstreetmap.org/relation/12393895,,,refugee_site,,,,,,,,,,
relation,12741799,https://www.openstreetmap.org/relation/12741799,,,refugee_site,,,,,,,,,,
relation,12741800,https://www.openstreetmap.org/relation/12741800,,,refugee_site,,,,,,,,,,
relation,12741801,https://www.openstreetmap.org/relation/12741801,,,refugee_site,,,,,,,,,,
relation,12741802,https://www.openstreetmap.org/relation/12741802,,,refugee_site,,,,,,,,,,
relation,12741803,https://www.openstreetmap.org/relation/12741803,,,refugee_site,,,,,,,,,,
relation,15656489,https://www.openstreetmap.org/relation/15656489,Salama,Site Mbyo,refugee_site,,,,,2020-04-01,,,,,
relation,17519343,https://www.openstreetmap.org/relation/17519343,Camp de Bulengo,,refugee_site,,,,,,,,,,
relation,17537237,https://www.openstreetmap.org/relation/17537237,Camp de Shabindu,Camp de Kashaka,refugee_site,,,,,,,,,,
relation,17747170,https://www.openstreetmap.org/relation/17747170,Camp de Rusayo 3,,refugee_site,,,,,,,,,,
relation,17922699,https://www.openstreetmap.org/relation/17922699,Camp de Rusayo 2,,refugee_site,,,,,,,,,,
relation,17922734,https://www.openstreetmap.org/relation/17922734,,,refugee_site,,,,,,,,,,
relation,17922735,https://www.openstreetmap.org/relation/17922735,Lushgala extension,,refugee_site,,,,,,,,,,
relation,17975643,https://www.openstreetmap.org/relation/17975643,Camp de Nzulo,,refugee_site,,,,,,,,,,
relation,18316752,https://www.openstreetmap.org/relation/18316752,Camp de Lushagala,,refugee_site,,,,,,,,,,
relation,18316797,https://www.openstreetmap.org/relation/18316797,Camp de Lwashi,,refugee_site,,,,,,,,,,
relation,18546477,https://www.openstreetmap.org/relation/18546477,Camp de Rusayo 1,,refugee_site,,,,,,,,,,
relation,19405982,https://www.openstreetmap.org/relation/19405982,,,refugee_generic,,,,,,,,,,
relation,20292547,https://www.openstreetmap.org/relation/20292547,,,refugee_site,,,,,,,,,,
