origin_hz,CD5401ZS01 | BUNIA,CD5402ZS01 | BOGA,CD5402ZS02 | BUNIA,CD5402ZS03 | GETHY,CD5402ZS04 | KOMANDA,CD5402ZS05 | NYAKUNDE,CD5402ZS06 | RWAMPARA,CD5403ZS01 | LOLWA,CD5403ZS02 | MAMBASA,CD5403ZS03 | MANDIMA,CD5403ZS04 | NIA-NIA,CD5405ZS01 | BAMBU,CD5405ZS02 | DAMAS,CD5405ZS03 | DRODRO,CD5405ZS04 | FATAKI,CD5405ZS05 | JIBA,CD5405ZS06 | KILO,CD5405ZS07 | LINGA,CD5405ZS08 | LITA,CD5405ZS09 | MANGALA,CD5405ZS10 | MONGBALU,CD5405ZS11 | NIZI,CD5405ZS12 | RETHY,CD5405ZS13 | TCHOMIA,CD5407ZS01 | ANGUMU,CD5407ZS02 | AUNGBA,CD5407ZS03 | KAMBALA,CD5407ZS04 | LOGO,CD5407ZS05 | MAHAGI,CD5407ZS06 | NYARAMBE,CD5407ZS07 | RIMBA,CD5409ZS01 | ADI,CD5409ZS02 | ADJA,CD5409ZS03 | ARIWARA,CD5409ZS04 | ARU,CD5409ZS05 | BIRINGI,CD5409ZS06 | LAYBO,CD6101ZS01 | GOMA,CD6105ZS03 | KAYNA,CD6105ZS05 | MANGUREDJIPA,CD6105ZS06 | MASEREKA,CD6107ZS06 | OICHA,CD6109ZS01 | BENI (ville),CD6110ZS01 | BUTEMBO,CD6111ZS05 | RUTSHURU
CD5405ZS08 | LITA,3860,0,0,0,0,0,20,0,0,0,0,10,0,0,0,0,340,90,5727,891,100,0,8,0,0,850,0,89,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5405ZS09 | MANGALA,538,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,192,2626,277,1978,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5405ZS10 | MONGBALU,1313,0,0,0,0,0,11,0,0,0,0,0,45,0,0,0,125,0,0,218,2478,126,72,0,0,106,0,3770,598,399,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0
CD5405ZS11 | NIZI,10902,0,0,0,0,0,19,0,0,0,0,0,0,0,2500,0,0,0,21979,280,56,9125,0,0,0,920,0,0,77,69,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0
CD5405ZS12 | RETHY,545,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,9880,0,0,0,0,3633,142,1746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5405ZS13 | TCHOMIA,1057,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,140,822,72,1686,0,0,0,2086,15632,0,0,463,2327,6375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5407ZS01 | ANGUMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,724,290,0,4870,2834,699,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5407ZS02 | AUNGBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,32,19061,0,2699,15126,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5407ZS03 | KAMBALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,3688,49203,0,1871,3975,4432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD5407ZS04 | LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,2257,0,0,100,0,29005,111,0,1635,0,0,0,0,264,0,0,0,0,0,0,0,0,0
CD5407ZS05 | MAHAGI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,360,0,2301,0,340,0,0,0,0,2074,16,0,0,0,0,0,0,0,0
