dataset,file,type,status,n_rows,n_zones_covered,reasons,checked_at
ACLED_conflict,metadata.yaml,metadata,pass,,,,2026-05-25T11:05:06+00:00
ACLED_conflict,processed/,structure,warn,,,no processed/ directory,2026-05-25T11:05:06+00:00
IDP,metadata.yaml,metadata,pass,,,,2026-05-25T11:05:06+00:00
IDP,idp__individuals__monthly.matrix.csv,matrix,pass,4004,44,,2026-05-25T11:05:06+00:00
IDP,idp__individuals__static.matrix.csv,matrix,pass,44,44,,2026-05-25T11:05:06+00:00
IDP,idp__individuals__weekly.matrix.csv,matrix,pass,12584,44,,2026-05-25T11:05:06+00:00
ccvi,metadata.yaml,metadata,pass,,,,2026-05-25T11:05:06+00:00
ccvi,ccvi__socioeconomic_deprivation__static.csv,vector,warn,519,519,1 empty column header(s); likely R write.csv without row.names=FALSE (warn),2026-05-25T11:05:06+00:00
ccvi,ccvi__socioeconomic_inequality__static.csv,vector,warn,519,519,1 empty column header(s); likely R write.csv without row.names=FALSE (warn),2026-05-25T11:05:06+00:00
cross-border-movements,metadata.yaml,metadata,pass,,,,2026-05-25T11:05:06+00:00
cross-border-movements,cross_border__poe_passengers__static.csv,vector,pass,7,7,,2026-05-25T11:05:06+00:00
epi,metadata.yaml,metadata,pass,,,,2026-05-25T11:05:06+00:00
epi,epi__cases__weekly.csv,vector,pass,7,7,,2026-05-25T11:05:06+00:00
fao_lccs,metadata.yaml,metadata,pass,,,,2026-05-25T11:05:06+00:00
fao_lccs,fao_lccs__urban_fraction__static.csv,vector,warn,519,519,1 empty column header(s); likely R write.csv without row.names=FALSE (warn),2026-05-25T11:05:06+00:00
flowminder,metadata.yaml,metadata,pass,,,,2026-05-25T11:05:06+00:00
flowminder,flowminder__inflow__static.matrix.csv,matrix,pass,101,101,,2026-05-25T11:05:06+00:00
flowminder,flowminder__outflow__static.matrix.csv,matrix,pass,101,101,,2026-05-25T11:05:06+00:00
gdp_pc,metadata.yaml,metadata,pass,,,,2026-05-25T11:05:06+00:00
gdp_pc,gdp_pc__gdp_pc__static.csv,vector,warn,519,519,1 empty column header(s); likely R write.csv without row.names=FALSE (warn),2026-05-25T11:05:06+00:00
grid3_healthsites,metadata.yaml,metadata,pass,,,,2026-05-25T11:05:06+00:00
grid3_healthsites,grid3_healthsites__healthsite_count__static.csv,vector,warn,519,519,1 empty column header(s); likely R write.csv without row.names=FALSE (warn),2026-05-25T11:05:06+00:00
grid3_healthsites,grid3_healthsites__healthsite_density__static.csv,vector,warn,519,519,1 empty column header(s); likely R write.csv without row.names=FALSE (warn),2026-05-25T11:05:06+00:00
healthsites_io,metadata.yaml,metadata,pass,,,,2026-05-25T11:05:06+00:00
healthsites_io,healthsites_io__healthsite_count__static.csv,vector,warn,519,519,1 empty column header(s); likely R write.csv without row.names=FALSE (warn),2026-05-25T11:05:06+00:00
healthsites_io,healthsites_io__healthsite_density__static.csv,vector,warn,519,519,1 empty column header(s); likely R write.csv without row.names=FALSE (warn),2026-05-25T11:05:06+00:00
insp_sitrep,metadata.yaml,metadata,pass,,,,2026-05-25T11:05:06+00:00
insp_sitrep,insp_sitrep__contacts_seen__daily.csv,vector,pass,39,10,,2026-05-25T11:05:06+00:00
insp_sitrep,insp_sitrep__cumulative_confirmed_cases__daily.csv,vector,pass,61,12,,2026-05-25T11:05:06+00:00
insp_sitrep,insp_sitrep__cumulative_confirmed_deaths__daily.csv,vector,pass,61,12,,2026-05-25T11:05:06+00:00
insp_sitrep,insp_sitrep__cumulative_contacts_isolated__daily.csv,vector,pass,41,12,,2026-05-25T11:05:06+00:00
insp_sitrep,insp_sitrep__cumulative_contacts_traced__daily.csv,vector,pass,40,10,,2026-05-25T11:05:06+00:00
insp_sitrep,insp_sitrep__cumulative_suspected_cases__daily.csv,vector,pass,61,12,,2026-05-25T11:05:06+00:00
insp_sitrep,insp_sitrep__cumulative_suspected_deaths__daily.csv,vector,pass,60,12,,2026-05-25T11:05:06+00:00
